SQ_CANDIDATO;NM_CANDIDATO;NM_UE_x;DS_CARGO;SG_PARTIDO;DS_TIPO_BEM_CANDIDATO;DS_BEM_CANDIDATO;VR_BEM_CANDIDATO
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Ações (inclusive as provenientes de linha telefônica);Ações - Azul;3303,00
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Ações (inclusive as provenientes de linha telefônica);Ações Magazine Luiza;5480,00
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Quotas ou quinhões de capital;14250 de quotas da Empresa Agipro Sistemas Computacionais;14250,00
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Quotas ou quinhões de capital;Quotas de capital da empresa SRAM;950,00
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Quotas ou quinhões de capital;Quotas de capital da empresa RFLS Serv;1000,00
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Quotas ou quinhões de capital;Quotas de fundos Tellus Prop. ;18762,80
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Quotas ou quinhões de capital;Quotas FII Pactual Fund Brcr11;18950,40
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Quotas ou quinhões de capital;Quotas de fundos General Shopping ;2000,00
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Quotas ou quinhões de capital;Quotas de fundos BTG Pactual Cred Imob (esposa);13104,18
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Outras participações societárias;Empresa Plurio Soluçoes Digitais;10000,00
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Nissan Tiida ;40300,00
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Nissan Versa - 2021;80500,00
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Nissan Kicks Advance - 2023;129735,00
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Caderneta de poupança;Saldo em conta - Banco do Brasil;9400,48
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Depósito bancário em conta corrente no País;Saldo em conta - Caixa Economica Federal;3960,15
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Depósito bancário em conta corrente no País;Saldo em conta (esposa);9084,29
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Depósito bancário em conta corrente no País;Saldo em conta - Banco C6;1515,64
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Depósito bancário em conta corrente no País;Saldo em conta corrente Nu Invest;2610,52
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Depósito bancário em conta corrente no País;Saldo em conta Nu Invest (esposa);1292,94
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Terreno;Rua Madalena Franco de Moares Miranda - Boituva/SP;14436,86
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Terreno;Lote com construção no Portal Ville Jardins - Boituva/SP;765943,28
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Terreno;Lote na Reserva dos Ipes - Boituva/SP;105728,03
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Aplicação de renda fixa (CDB, RDB e outros);Banco C6;7495,00
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Aplicação de renda fixa (CDB, RDB e outros);Banco do Brasil;35033,93
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Dinheiro em espécie - moeda nacional;Dinheiro em espécie;25000,00
